entity_group,score,word,start,end,Source,Index,Text
PER,0.37444916,Anatoliyovych,18,31,18 March 2022 Mykolaiv military quarters attack,26,Nakonechny Serhiy Anatoliyovych 
PER,0.83024484,Serhii Olegovich Shyshkovsky,0,28,18 March 2022 Mykolaiv military quarters attack,27,Serhii Olegovich Shyshkovsky
PER,0.805706,Evgeny Viktorovych Shpichka,0,27,18 March 2022 Mykolaiv military quarters attack,28,Evgeny Viktorovych Shpichka
PER,0.7662064,Oleksandr Dyachenko,0,19,18 March 2022 Mykolaiv military quarters attack,29,Oleksandr Dyachenko
ORG,0.7896676,Korsya Vyacheslav,0,17,18 March 2022 Mykolaiv military quarters attack,30,Korsya Vyacheslav Vasyliovych
PER,0.49966785,Vasyliovych,18,29,18 March 2022 Mykolaiv military quarters attack,30,Korsya Vyacheslav Vasyliovych
PER,0.7979757,Valentin Volodymyrovych Bagnyuk,0,31,18 March 2022 Mykolaiv military quarters attack,31,Valentin Volodymyrovych Bagnyuk
PER,0.6350216,Mykhailo Volodymyrovych Skuba,0,29,18 March 2022 Mykolaiv military quarters attack,32,Mykhailo Volodymyrovych Skuba
PER,0.67889255,Mykhailo Mykolayovych Kravchuk,0,30,18 March 2022 Mykolaiv military quarters attack,33,Mykhailo Mykolayovych Kravchuk
PER,0.76775247,Oleksandr Viktorovych Sydorchuk,0,31,18 March 2022 Mykolaiv military quarters attack,34,Oleksandr Viktorovych Sydorchuk
PER,0.91681963,Vitaliy Yuriyovych Volodko,0,26,18 March 2022 Mykolaiv military quarters attack,35,Vitaliy Yuriyovych Volodko
PER,0.74139816,Dmytro Sergeyevich Uvarov,0,25,18 March 2022 Mykolaiv military quarters attack,36,Dmytro Sergeyevich Uvarov
PER,0.8606088,Ihor Oleksandrovych Shapovalov,0,30,18 March 2022 Mykolaiv military quarters attack,37,Ihor Oleksandrovych Shapovalov
PER,0.99677646,Anton Kostyantynovich,0,21,18 March 2022 Mykolaiv military quarters attack,38,Anton Kostyantynovich
PER,0.7687969,Oleksiy Lunyov,0,14,18 March 2022 Mykolaiv military quarters attack,39,Oleksiy Lunyov 
PER,0.9794888,Evgeny Avramenko,0,16,18 March 2022 Mykolaiv military quarters attack,40,Evgeny Avramenko
PER,0.8399827,Varzar Oleksandr,0,16,18 March 2022 Mykolaiv military quarters attack,41,Varzar Oleksandr
PER,0.7113805,Oleksandr Andreyovych Kholyavko,0,31,18 March 2022 Mykolaiv military quarters attack,42,Oleksandr Andreyovych Kholyavko
PER,0.70728564,Volodymyr Volodymyrovych Galushko,0,33,18 March 2022 Mykolaiv military quarters attack,43,Volodymyr Volodymyrovych Galushko
PER,0.99906814,Viktor Grigoriev,0,16,18 March 2022 Mykolaiv military quarters attack,44,Viktor Grigoriev
PER,0.8726387,Serhii Mykhailovych Luchko,0,26,18 March 2022 Mykolaiv military quarters attack,45,Serhii Mykhailovych Luchko
PER,0.5617146,Dmytro Ihorovych Tsigol,0,23,18 March 2022 Mykolaiv military quarters attack,46,Dmytro Ihorovych Tsigol
PER,0.98011565,Anton,9,14,18 March 2022 Mykolaiv military quarters attack,47,Rotarian Anton
ORG,0.3870534,Oganezov,0,8,18 March 2022 Mykolaiv military quarters attack,48,Oganezov Serhiy Serhiyovych
PER,0.70860827,Serhiy Serhiyovych,9,27,18 March 2022 Mykolaiv military quarters attack,48,Oganezov Serhiy Serhiyovych
ORG,0.7129496,Blazhko Viktor Viktorovych,0,26,18 March 2022 Mykolaiv military quarters attack,49,Blazhko Viktor Viktorovych
PER,0.76076216,Oleksandr Evgenovich Goryachko,0,30,18 March 2022 Mykolaiv military quarters attack,50,Oleksandr Evgenovich Goryachko
PER,0.98504114,Maxim Melnyk,0,12,18 March 2022 Mykolaiv military quarters attack,51,Maxim Melnyk
PER,0.59891266,Osadchy Teodor Valentinovych,0,28,18 March 2022 Mykolaiv military quarters attack,52,Osadchy Teodor Valentinovych
PER,0.7088599,Kravets Vladyslav Vasyliovych,0,29,18 March 2022 Mykolaiv military quarters attack,53,Kravets Vladyslav Vasyliovych
PER,0.79704076,Valery Mykhailovych Samofalov,0,29,18 March 2022 Mykolaiv military quarters attack,54,Valery Mykhailovych Samofalov
PER,0.78547317,Pavlo Borysovych Hamyk,0,22,18 March 2022 Mykolaiv military quarters attack,55,Pavlo Borysovych Hamyk
PER,0.98698044,Ivan Diskalenko,0,15,18 March 2022 Mykolaiv military quarters attack,56,Ivan Diskalenko
PER,0.83685434,Dmitry Kiritsa,0,14,18 March 2022 Mykolaiv military quarters attack,57,Dmitry Kiritsa
PER,0.80206317,Andriy Palamarchuk,0,18,18 March 2022 Mykolaiv military quarters attack,58,Andriy Palamarchuk
LOC,0.40289637,Yavoriv,0,7,18 March 2022 Mykolaiv military quarters attack,59,Yavoriv military base attack - Another attack five days prior
ORG,0.43450525,Desna,0,5,18 March 2022 Mykolaiv military quarters attack,60,Desna barracks airstrike - Another deadly attack on Ukrainian quarters
MISC,0.9996996,Ukrainian,52,61,18 March 2022 Mykolaiv military quarters attack,60,Desna barracks airstrike - Another deadly attack on Ukrainian quarters
LOC,0.9233348,Zaporizhzhia Oblast,48,67,18 March 2022 Mykolaiv military quarters attack,61,Zarichne barracks airstrike - Another attack on Zaporizhzhia Oblast
ORG,0.51525664,Makiivka,0,8,18 March 2022 Mykolaiv military quarters attack,62,Makiivka military quarters shelling - Deadly attack on Russian forces on New year eve
MISC,0.9997385,Russian,55,62,18 March 2022 Mykolaiv military quarters attack,62,Makiivka military quarters shelling - Deadly attack on Russian forces on New year eve
MISC,0.9891406,First,4,9,1st European Political Community Summit,0,"The First European Political Community Summit was the inaugural meeting of the European Political Community held on 6 October 2022 in Prague, Czech Republic. It was attended by the heads of state or government of forty-four European countries. Russia and Belarus were not invited, while arrangements for Andorra, Monaco and San Marino were yet to be finalized."
ORG,0.57260144,European Political,10,28,1st European Political Community Summit,0,"The First European Political Community Summit was the inaugural meeting of the European Political Community held on 6 October 2022 in Prague, Czech Republic. It was attended by the heads of state or government of forty-four European countries. Russia and Belarus were not invited, while arrangements for Andorra, Monaco and San Marino were yet to be finalized."
MISC,0.9079864,Community Summit,29,45,1st European Political Community Summit,0,"The First European Political Community Summit was the inaugural meeting of the European Political Community held on 6 October 2022 in Prague, Czech Republic. It was attended by the heads of state or government of forty-four European countries. Russia and Belarus were not invited, while arrangements for Andorra, Monaco and San Marino were yet to be finalized."
ORG,0.99762136,European Political Community,79,107,1st European Political Community Summit,0,"The First European Political Community Summit was the inaugural meeting of the European Political Community held on 6 October 2022 in Prague, Czech Republic. It was attended by the heads of state or government of forty-four European countries. Russia and Belarus were not invited, while arrangements for Andorra, Monaco and San Marino were yet to be finalized."
LOC,0.9994698,Prague,134,140,1st European Political Community Summit,0,"The First European Political Community Summit was the inaugural meeting of the European Political Community held on 6 October 2022 in Prague, Czech Republic. It was attended by the heads of state or government of forty-four European countries. Russia and Belarus were not invited, while arrangements for Andorra, Monaco and San Marino were yet to be finalized."
LOC,0.99962044,Czech Republic,142,156,1st European Political Community Summit,0,"The First European Political Community Summit was the inaugural meeting of the European Political Community held on 6 October 2022 in Prague, Czech Republic. It was attended by the heads of state or government of forty-four European countries. Russia and Belarus were not invited, while arrangements for Andorra, Monaco and San Marino were yet to be finalized."
MISC,0.99969745,European,224,232,1st European Political Community Summit,0,"The First European Political Community Summit was the inaugural meeting of the European Political Community held on 6 October 2022 in Prague, Czech Republic. It was attended by the heads of state or government of forty-four European countries. Russia and Belarus were not invited, while arrangements for Andorra, Monaco and San Marino were yet to be finalized."
LOC,0.99983335,Russia,244,250,1st European Political Community Summit,0,"The First European Political Community Summit was the inaugural meeting of the European Political Community held on 6 October 2022 in Prague, Czech Republic. It was attended by the heads of state or government of forty-four European countries. Russia and Belarus were not invited, while arrangements for Andorra, Monaco and San Marino were yet to be finalized."
LOC,0.999816,Belarus,255,262,1st European Political Community Summit,0,"The First European Political Community Summit was the inaugural meeting of the European Political Community held on 6 October 2022 in Prague, Czech Republic. It was attended by the heads of state or government of forty-four European countries. Russia and Belarus were not invited, while arrangements for Andorra, Monaco and San Marino were yet to be finalized."
LOC,0.6926842,Andorra,304,311,1st European Political Community Summit,0,"The First European Political Community Summit was the inaugural meeting of the European Political Community held on 6 October 2022 in Prague, Czech Republic. It was attended by the heads of state or government of forty-four European countries. Russia and Belarus were not invited, while arrangements for Andorra, Monaco and San Marino were yet to be finalized."
LOC,0.9997428,Monaco,313,319,1st European Political Community Summit,0,"The First European Political Community Summit was the inaugural meeting of the European Political Community held on 6 October 2022 in Prague, Czech Republic. It was attended by the heads of state or government of forty-four European countries. Russia and Belarus were not invited, while arrangements for Andorra, Monaco and San Marino were yet to be finalized."
LOC,0.99957895,San Marino,324,334,1st European Political Community Summit,0,"The First European Political Community Summit was the inaugural meeting of the European Political Community held on 6 October 2022 in Prague, Czech Republic. It was attended by the heads of state or government of forty-four European countries. Russia and Belarus were not invited, while arrangements for Andorra, Monaco and San Marino were yet to be finalized."
MISC,0.9996599,European,60,68,1st European Political Community Summit,3,"To strengthen the security, stability and prosperity of the European continent"
ORG,0.9993403,European Council,54,70,1st European Political Community Summit,11,The summit was followed by an informal meeting of the European Council which took place the next day also at Prague Castle.
LOC,0.9982733,Prague Castle,109,122,1st European Political Community Summit,11,The summit was followed by an informal meeting of the European Council which took place the next day also at Prague Castle.
MISC,0.9996037,Russian,120,127,1st European Political Community Summit,13,"According to a press release issued after the summit, the main focus of discussions was in regard to security, the 2022 Russian invasion of Ukraine and the ongoing energy crisis in Europe. It was also agreed that the following summit will be held in the spring of 2023 in Moldova and would focus on securing key infrastructure such as pipelines, cables, and satellites; stepping up the fight against cyberattacks, creating a support fund for Ukraine, working out a common, pan-European energy policy and looking into the possibility of having more university and student exchanges."
LOC,0.9998062,Ukraine,140,147,1st European Political Community Summit,13,"According to a press release issued after the summit, the main focus of discussions was in regard to security, the 2022 Russian invasion of Ukraine and the ongoing energy crisis in Europe. It was also agreed that the following summit will be held in the spring of 2023 in Moldova and would focus on securing key infrastructure such as pipelines, cables, and satellites; stepping up the fight against cyberattacks, creating a support fund for Ukraine, working out a common, pan-European energy policy and looking into the possibility of having more university and student exchanges."
LOC,0.99973756,Europe,181,187,1st European Political Community Summit,13,"According to a press release issued after the summit, the main focus of discussions was in regard to security, the 2022 Russian invasion of Ukraine and the ongoing energy crisis in Europe. It was also agreed that the following summit will be held in the spring of 2023 in Moldova and would focus on securing key infrastructure such as pipelines, cables, and satellites; stepping up the fight against cyberattacks, creating a support fund for Ukraine, working out a common, pan-European energy policy and looking into the possibility of having more university and student exchanges."
LOC,0.99983835,Moldova,272,279,1st European Political Community Summit,13,"According to a press release issued after the summit, the main focus of discussions was in regard to security, the 2022 Russian invasion of Ukraine and the ongoing energy crisis in Europe. It was also agreed that the following summit will be held in the spring of 2023 in Moldova and would focus on securing key infrastructure such as pipelines, cables, and satellites; stepping up the fight against cyberattacks, creating a support fund for Ukraine, working out a common, pan-European energy policy and looking into the possibility of having more university and student exchanges."
LOC,0.99980396,Ukraine,442,449,1st European Political Community Summit,13,"According to a press release issued after the summit, the main focus of discussions was in regard to security, the 2022 Russian invasion of Ukraine and the ongoing energy crisis in Europe. It was also agreed that the following summit will be held in the spring of 2023 in Moldova and would focus on securing key infrastructure such as pipelines, cables, and satellites; stepping up the fight against cyberattacks, creating a support fund for Ukraine, working out a common, pan-European energy policy and looking into the possibility of having more university and student exchanges."
MISC,0.99940264,pan,473,476,1st European Political Community Summit,13,"According to a press release issued after the summit, the main focus of discussions was in regard to security, the 2022 Russian invasion of Ukraine and the ongoing energy crisis in Europe. It was also agreed that the following summit will be held in the spring of 2023 in Moldova and would focus on securing key infrastructure such as pipelines, cables, and satellites; stepping up the fight against cyberattacks, creating a support fund for Ukraine, working out a common, pan-European energy policy and looking into the possibility of having more university and student exchanges."
MISC,0.7035379,European,477,485,1st European Political Community Summit,13,"According to a press release issued after the summit, the main focus of discussions was in regard to security, the 2022 Russian invasion of Ukraine and the ongoing energy crisis in Europe. It was also agreed that the following summit will be held in the spring of 2023 in Moldova and would focus on securing key infrastructure such as pipelines, cables, and satellites; stepping up the fight against cyberattacks, creating a support fund for Ukraine, working out a common, pan-European energy policy and looking into the possibility of having more university and student exchanges."
MISC,0.99970055,Armenian,15,23,1st European Political Community Summit,14,"At the summit, Armenian Prime Minister Nikol Pashinyan and Azeri President Ilham Aliyev met in an attempt to resolve the long running Nagorno-Karabakh conflict and the recent Armenia–Azerbaijan border crisis. Following the meeting, the two parties re-affirmed their commitment to upholding the United Nations Charter and the Alma-Ata Protocol, through which they recognize each other's territorial integrity and sovereignty. They also agreed to the deployment of a European Union led mission to be deployed on the Armenian side of their shared border for a period of two months, starting in October 2022 with a view to build confidence and to contribute to the border delimitation process. This mission ultimately led to the deployment of a longer term European Union Mission in Armenia."
PER,0.7567046,Nikol Pashinyan,39,54,1st European Political Community Summit,14,"At the summit, Armenian Prime Minister Nikol Pashinyan and Azeri President Ilham Aliyev met in an attempt to resolve the long running Nagorno-Karabakh conflict and the recent Armenia–Azerbaijan border crisis. Following the meeting, the two parties re-affirmed their commitment to upholding the United Nations Charter and the Alma-Ata Protocol, through which they recognize each other's territorial integrity and sovereignty. They also agreed to the deployment of a European Union led mission to be deployed on the Armenian side of their shared border for a period of two months, starting in October 2022 with a view to build confidence and to contribute to the border delimitation process. This mission ultimately led to the deployment of a longer term European Union Mission in Armenia."
MISC,0.71485376,Azeri,59,64,1st European Political Community Summit,14,"At the summit, Armenian Prime Minister Nikol Pashinyan and Azeri President Ilham Aliyev met in an attempt to resolve the long running Nagorno-Karabakh conflict and the recent Armenia–Azerbaijan border crisis. Following the meeting, the two parties re-affirmed their commitment to upholding the United Nations Charter and the Alma-Ata Protocol, through which they recognize each other's territorial integrity and sovereignty. They also agreed to the deployment of a European Union led mission to be deployed on the Armenian side of their shared border for a period of two months, starting in October 2022 with a view to build confidence and to contribute to the border delimitation process. This mission ultimately led to the deployment of a longer term European Union Mission in Armenia."
PER,0.9677669,Ilham Aliyev,75,87,1st European Political Community Summit,14,"At the summit, Armenian Prime Minister Nikol Pashinyan and Azeri President Ilham Aliyev met in an attempt to resolve the long running Nagorno-Karabakh conflict and the recent Armenia–Azerbaijan border crisis. Following the meeting, the two parties re-affirmed their commitment to upholding the United Nations Charter and the Alma-Ata Protocol, through which they recognize each other's territorial integrity and sovereignty. They also agreed to the deployment of a European Union led mission to be deployed on the Armenian side of their shared border for a period of two months, starting in October 2022 with a view to build confidence and to contribute to the border delimitation process. This mission ultimately led to the deployment of a longer term European Union Mission in Armenia."
MISC,0.6849546,Nagorno,134,141,1st European Political Community Summit,14,"At the summit, Armenian Prime Minister Nikol Pashinyan and Azeri President Ilham Aliyev met in an attempt to resolve the long running Nagorno-Karabakh conflict and the recent Armenia–Azerbaijan border crisis. Following the meeting, the two parties re-affirmed their commitment to upholding the United Nations Charter and the Alma-Ata Protocol, through which they recognize each other's territorial integrity and sovereignty. They also agreed to the deployment of a European Union led mission to be deployed on the Armenian side of their shared border for a period of two months, starting in October 2022 with a view to build confidence and to contribute to the border delimitation process. This mission ultimately led to the deployment of a longer term European Union Mission in Armenia."
LOC,0.6299736,Karabakh,142,150,1st European Political Community Summit,14,"At the summit, Armenian Prime Minister Nikol Pashinyan and Azeri President Ilham Aliyev met in an attempt to resolve the long running Nagorno-Karabakh conflict and the recent Armenia–Azerbaijan border crisis. Following the meeting, the two parties re-affirmed their commitment to upholding the United Nations Charter and the Alma-Ata Protocol, through which they recognize each other's territorial integrity and sovereignty. They also agreed to the deployment of a European Union led mission to be deployed on the Armenian side of their shared border for a period of two months, starting in October 2022 with a view to build confidence and to contribute to the border delimitation process. This mission ultimately led to the deployment of a longer term European Union Mission in Armenia."
LOC,0.999419,Armenia,175,182,1st European Political Community Summit,14,"At the summit, Armenian Prime Minister Nikol Pashinyan and Azeri President Ilham Aliyev met in an attempt to resolve the long running Nagorno-Karabakh conflict and the recent Armenia–Azerbaijan border crisis. Following the meeting, the two parties re-affirmed their commitment to upholding the United Nations Charter and the Alma-Ata Protocol, through which they recognize each other's territorial integrity and sovereignty. They also agreed to the deployment of a European Union led mission to be deployed on the Armenian side of their shared border for a period of two months, starting in October 2022 with a view to build confidence and to contribute to the border delimitation process. This mission ultimately led to the deployment of a longer term European Union Mission in Armenia."
LOC,0.9997818,Azerbaijan,183,193,1st European Political Community Summit,14,"At the summit, Armenian Prime Minister Nikol Pashinyan and Azeri President Ilham Aliyev met in an attempt to resolve the long running Nagorno-Karabakh conflict and the recent Armenia–Azerbaijan border crisis. Following the meeting, the two parties re-affirmed their commitment to upholding the United Nations Charter and the Alma-Ata Protocol, through which they recognize each other's territorial integrity and sovereignty. They also agreed to the deployment of a European Union led mission to be deployed on the Armenian side of their shared border for a period of two months, starting in October 2022 with a view to build confidence and to contribute to the border delimitation process. This mission ultimately led to the deployment of a longer term European Union Mission in Armenia."
MISC,0.95931894,United,294,300,1st European Political Community Summit,14,"At the summit, Armenian Prime Minister Nikol Pashinyan and Azeri President Ilham Aliyev met in an attempt to resolve the long running Nagorno-Karabakh conflict and the recent Armenia–Azerbaijan border crisis. Following the meeting, the two parties re-affirmed their commitment to upholding the United Nations Charter and the Alma-Ata Protocol, through which they recognize each other's territorial integrity and sovereignty. They also agreed to the deployment of a European Union led mission to be deployed on the Armenian side of their shared border for a period of two months, starting in October 2022 with a view to build confidence and to contribute to the border delimitation process. This mission ultimately led to the deployment of a longer term European Union Mission in Armenia."
ORG,0.6844469,Nations,301,308,1st European Political Community Summit,14,"At the summit, Armenian Prime Minister Nikol Pashinyan and Azeri President Ilham Aliyev met in an attempt to resolve the long running Nagorno-Karabakh conflict and the recent Armenia–Azerbaijan border crisis. Following the meeting, the two parties re-affirmed their commitment to upholding the United Nations Charter and the Alma-Ata Protocol, through which they recognize each other's territorial integrity and sovereignty. They also agreed to the deployment of a European Union led mission to be deployed on the Armenian side of their shared border for a period of two months, starting in October 2022 with a view to build confidence and to contribute to the border delimitation process. This mission ultimately led to the deployment of a longer term European Union Mission in Armenia."
MISC,0.9885621,Charter,309,316,1st European Political Community Summit,14,"At the summit, Armenian Prime Minister Nikol Pashinyan and Azeri President Ilham Aliyev met in an attempt to resolve the long running Nagorno-Karabakh conflict and the recent Armenia–Azerbaijan border crisis. Following the meeting, the two parties re-affirmed their commitment to upholding the United Nations Charter and the Alma-Ata Protocol, through which they recognize each other's territorial integrity and sovereignty. They also agreed to the deployment of a European Union led mission to be deployed on the Armenian side of their shared border for a period of two months, starting in October 2022 with a view to build confidence and to contribute to the border delimitation process. This mission ultimately led to the deployment of a longer term European Union Mission in Armenia."
MISC,0.9568446,Alma - Ata Protocol,325,342,1st European Political Community Summit,14,"At the summit, Armenian Prime Minister Nikol Pashinyan and Azeri President Ilham Aliyev met in an attempt to resolve the long running Nagorno-Karabakh conflict and the recent Armenia–Azerbaijan border crisis. Following the meeting, the two parties re-affirmed their commitment to upholding the United Nations Charter and the Alma-Ata Protocol, through which they recognize each other's territorial integrity and sovereignty. They also agreed to the deployment of a European Union led mission to be deployed on the Armenian side of their shared border for a period of two months, starting in October 2022 with a view to build confidence and to contribute to the border delimitation process. This mission ultimately led to the deployment of a longer term European Union Mission in Armenia."
ORG,0.9572045,European Union,465,479,1st European Political Community Summit,14,"At the summit, Armenian Prime Minister Nikol Pashinyan and Azeri President Ilham Aliyev met in an attempt to resolve the long running Nagorno-Karabakh conflict and the recent Armenia–Azerbaijan border crisis. Following the meeting, the two parties re-affirmed their commitment to upholding the United Nations Charter and the Alma-Ata Protocol, through which they recognize each other's territorial integrity and sovereignty. They also agreed to the deployment of a European Union led mission to be deployed on the Armenian side of their shared border for a period of two months, starting in October 2022 with a view to build confidence and to contribute to the border delimitation process. This mission ultimately led to the deployment of a longer term European Union Mission in Armenia."
MISC,0.99976104,Armenian,514,522,1st European Political Community Summit,14,"At the summit, Armenian Prime Minister Nikol Pashinyan and Azeri President Ilham Aliyev met in an attempt to resolve the long running Nagorno-Karabakh conflict and the recent Armenia–Azerbaijan border crisis. Following the meeting, the two parties re-affirmed their commitment to upholding the United Nations Charter and the Alma-Ata Protocol, through which they recognize each other's territorial integrity and sovereignty. They also agreed to the deployment of a European Union led mission to be deployed on the Armenian side of their shared border for a period of two months, starting in October 2022 with a view to build confidence and to contribute to the border delimitation process. This mission ultimately led to the deployment of a longer term European Union Mission in Armenia."
ORG,0.99834436,European Union Mission,753,775,1st European Political Community Summit,14,"At the summit, Armenian Prime Minister Nikol Pashinyan and Azeri President Ilham Aliyev met in an attempt to resolve the long running Nagorno-Karabakh conflict and the recent Armenia–Azerbaijan border crisis. Following the meeting, the two parties re-affirmed their commitment to upholding the United Nations Charter and the Alma-Ata Protocol, through which they recognize each other's territorial integrity and sovereignty. They also agreed to the deployment of a European Union led mission to be deployed on the Armenian side of their shared border for a period of two months, starting in October 2022 with a view to build confidence and to contribute to the border delimitation process. This mission ultimately led to the deployment of a longer term European Union Mission in Armenia."
LOC,0.99979454,Armenia,779,786,1st European Political Community Summit,14,"At the summit, Armenian Prime Minister Nikol Pashinyan and Azeri President Ilham Aliyev met in an attempt to resolve the long running Nagorno-Karabakh conflict and the recent Armenia–Azerbaijan border crisis. Following the meeting, the two parties re-affirmed their commitment to upholding the United Nations Charter and the Alma-Ata Protocol, through which they recognize each other's territorial integrity and sovereignty. They also agreed to the deployment of a European Union led mission to be deployed on the Armenian side of their shared border for a period of two months, starting in October 2022 with a view to build confidence and to contribute to the border delimitation process. This mission ultimately led to the deployment of a longer term European Union Mission in Armenia."
LOC,0.9993066,United Kingdom,19,33,1st European Political Community Summit,15,"At the summit, the United Kingdom agreed to re-engage with the North Seas Energy Cooperation (NSEC) which it had previously left in January 2020. At a fringe event, British Prime Minister Liz Truss committed to joining the Permanent Structured Cooperation (PESCO) and its Military Mobility programme. The summit also resulted in a resetting of the relations between the UK and France. During bilateral talks at the summit, Liz Truss and French President Emmanuel Macron reaffirmed the strong and historic ties between their two countries and the two agreed to hold a UK-France Summit in 2023. Prior to the summit, Truss had stated that ""the jury was out"" on whether Macron was a friend or foe, however during the summit Truss called Macron a friend."
ORG,0.9978344,North Seas Energy Cooperation,63,92,1st European Political Community Summit,15,"At the summit, the United Kingdom agreed to re-engage with the North Seas Energy Cooperation (NSEC) which it had previously left in January 2020. At a fringe event, British Prime Minister Liz Truss committed to joining the Permanent Structured Cooperation (PESCO) and its Military Mobility programme. The summit also resulted in a resetting of the relations between the UK and France. During bilateral talks at the summit, Liz Truss and French President Emmanuel Macron reaffirmed the strong and historic ties between their two countries and the two agreed to hold a UK-France Summit in 2023. Prior to the summit, Truss had stated that ""the jury was out"" on whether Macron was a friend or foe, however during the summit Truss called Macron a friend."
ORG,0.6652214,NSEC,94,98,1st European Political Community Summit,15,"At the summit, the United Kingdom agreed to re-engage with the North Seas Energy Cooperation (NSEC) which it had previously left in January 2020. At a fringe event, British Prime Minister Liz Truss committed to joining the Permanent Structured Cooperation (PESCO) and its Military Mobility programme. The summit also resulted in a resetting of the relations between the UK and France. During bilateral talks at the summit, Liz Truss and French President Emmanuel Macron reaffirmed the strong and historic ties between their two countries and the two agreed to hold a UK-France Summit in 2023. Prior to the summit, Truss had stated that ""the jury was out"" on whether Macron was a friend or foe, however during the summit Truss called Macron a friend."
MISC,0.9997452,British,165,172,1st European Political Community Summit,15,"At the summit, the United Kingdom agreed to re-engage with the North Seas Energy Cooperation (NSEC) which it had previously left in January 2020. At a fringe event, British Prime Minister Liz Truss committed to joining the Permanent Structured Cooperation (PESCO) and its Military Mobility programme. The summit also resulted in a resetting of the relations between the UK and France. During bilateral talks at the summit, Liz Truss and French President Emmanuel Macron reaffirmed the strong and historic ties between their two countries and the two agreed to hold a UK-France Summit in 2023. Prior to the summit, Truss had stated that ""the jury was out"" on whether Macron was a friend or foe, however during the summit Truss called Macron a friend."
PER,0.99931735,Liz Truss,188,197,1st European Political Community Summit,15,"At the summit, the United Kingdom agreed to re-engage with the North Seas Energy Cooperation (NSEC) which it had previously left in January 2020. At a fringe event, British Prime Minister Liz Truss committed to joining the Permanent Structured Cooperation (PESCO) and its Military Mobility programme. The summit also resulted in a resetting of the relations between the UK and France. During bilateral talks at the summit, Liz Truss and French President Emmanuel Macron reaffirmed the strong and historic ties between their two countries and the two agreed to hold a UK-France Summit in 2023. Prior to the summit, Truss had stated that ""the jury was out"" on whether Macron was a friend or foe, however during the summit Truss called Macron a friend."
ORG,0.99845535,Permanent Structured Cooperation,223,255,1st European Political Community Summit,15,"At the summit, the United Kingdom agreed to re-engage with the North Seas Energy Cooperation (NSEC) which it had previously left in January 2020. At a fringe event, British Prime Minister Liz Truss committed to joining the Permanent Structured Cooperation (PESCO) and its Military Mobility programme. The summit also resulted in a resetting of the relations between the UK and France. During bilateral talks at the summit, Liz Truss and French President Emmanuel Macron reaffirmed the strong and historic ties between their two countries and the two agreed to hold a UK-France Summit in 2023. Prior to the summit, Truss had stated that ""the jury was out"" on whether Macron was a friend or foe, however during the summit Truss called Macron a friend."
ORG,0.6636066,PESCO,257,262,1st European Political Community Summit,15,"At the summit, the United Kingdom agreed to re-engage with the North Seas Energy Cooperation (NSEC) which it had previously left in January 2020. At a fringe event, British Prime Minister Liz Truss committed to joining the Permanent Structured Cooperation (PESCO) and its Military Mobility programme. The summit also resulted in a resetting of the relations between the UK and France. During bilateral talks at the summit, Liz Truss and French President Emmanuel Macron reaffirmed the strong and historic ties between their two countries and the two agreed to hold a UK-France Summit in 2023. Prior to the summit, Truss had stated that ""the jury was out"" on whether Macron was a friend or foe, however during the summit Truss called Macron a friend."
ORG,0.9829869,Military Mobility,272,289,1st European Political Community Summit,15,"At the summit, the United Kingdom agreed to re-engage with the North Seas Energy Cooperation (NSEC) which it had previously left in January 2020. At a fringe event, British Prime Minister Liz Truss committed to joining the Permanent Structured Cooperation (PESCO) and its Military Mobility programme. The summit also resulted in a resetting of the relations between the UK and France. During bilateral talks at the summit, Liz Truss and French President Emmanuel Macron reaffirmed the strong and historic ties between their two countries and the two agreed to hold a UK-France Summit in 2023. Prior to the summit, Truss had stated that ""the jury was out"" on whether Macron was a friend or foe, however during the summit Truss called Macron a friend."
LOC,0.99964225,UK,370,372,1st European Political Community Summit,15,"At the summit, the United Kingdom agreed to re-engage with the North Seas Energy Cooperation (NSEC) which it had previously left in January 2020. At a fringe event, British Prime Minister Liz Truss committed to joining the Permanent Structured Cooperation (PESCO) and its Military Mobility programme. The summit also resulted in a resetting of the relations between the UK and France. During bilateral talks at the summit, Liz Truss and French President Emmanuel Macron reaffirmed the strong and historic ties between their two countries and the two agreed to hold a UK-France Summit in 2023. Prior to the summit, Truss had stated that ""the jury was out"" on whether Macron was a friend or foe, however during the summit Truss called Macron a friend."
LOC,0.9997427,France,377,383,1st European Political Community Summit,15,"At the summit, the United Kingdom agreed to re-engage with the North Seas Energy Cooperation (NSEC) which it had previously left in January 2020. At a fringe event, British Prime Minister Liz Truss committed to joining the Permanent Structured Cooperation (PESCO) and its Military Mobility programme. The summit also resulted in a resetting of the relations between the UK and France. During bilateral talks at the summit, Liz Truss and French President Emmanuel Macron reaffirmed the strong and historic ties between their two countries and the two agreed to hold a UK-France Summit in 2023. Prior to the summit, Truss had stated that ""the jury was out"" on whether Macron was a friend or foe, however during the summit Truss called Macron a friend."
